sido_cd,sido_nm,sigun_cd,지역명,sigun_nm,year,yfe,old(65세이상인구),인구 소멸 지수,총전입 (명),총전출 (명),개선 인구 소멸 지수 ,노인여가복지시설수,노인인구 1000명 당 여가복지시설,문화시설 수,인구 십만명당 문화시설 수,상급종합병원,종합병원,병원,요양병원,의원,치과병원,한방병원,보건소,약국,녹지면적,녹지비율,고위험음주율,주관적_건강수준인지율,흡연율,1인당 자동차등록대수 (대),가구수 (가구),건강생활실천율 (%),대학교 교원수 (명),대학교 수 (개),대학교 재학생수 (명),도소매업 사업체수(등록기반) (개),도소매업 종사자수(등록기반) (명),도시지역면적 (㎡),등록외국인 현황 (명),등록장애인수 (명),미충족의료율 (%),사망자수 (명),사설학원수 (천명당),사업체수(등록기반) (개),상수도보급률 (%),서비스업 사업체수(등록기반) (개),스트레스인지율 (%),신혼부부수 (쌍),운수업 사업체수(등록기반) (개),운수업 종사자수(등록기반) (명),유치원 교원수 (명),유치원 수 (개),유치원 원아수 (명),음주율 (%),의료기관 종사 의사수 (천명당),의료기관병상수 (천명당),이혼건수 (건),인구십만명당 자살률 (십만명당),인구총조사 인구 (명),인플루엔자 예방접종률 (%),제조업 사업체수(등록기반) (개),제조업 종사자수(등록기반) (명),조이혼율 (천명당),조혼인율 (천명당),주관적 건강수준인지율 (%),주민등록인구 (명),주택수 (호),초등학교 교원수 (명),초등학교 수 (개),초등학교 학생수 (명),출생아수 (명),토지거래면적 (천㎡),평균연령 (세),하수도보급률 (%),학급당 학생수 (명),합계출산율,혼인건수 (건),화재발생건수 (건),실업률,고용률
32,강원,32030,강원 강릉시,강릉시,2020,25109,45484,0.55,31595,30983,1.3,311,7.213601466,30,14.1,0,4,3,3,114,1,1,1,88,53746927,63.26,17.1,52,20.3,0.5,99109,21.8,820,4,26000,6614,14069,84958650,2282,13503,8.3,1709,2,27992,95.1,19791,30.5,4342,2172,4934,165,37,1708,59.6,3.5,12.5,415,34.5,216542,39.1,1522,7593,2,3.8,52,213321,87579,791,35,9771,950,10705,45.3,92.3,20.68,0.945,801,213,3.3,58.2
32,강원,32030,강원 강릉시,강릉시,2021,24463,47318,0.52,31820,30668,1.27,311,6.837569255,30,14.1,1,3,1,3,115,1,1,1,91,53746927,63.26,21.3,44.6,23.4,0.5,100340,17,822,4,24589,6415,14199,84958650,2357,13546,8.1,1710,2,29034,95.5,20279,25.4,4187,2412,5220,158,37,1517,59.1,3.5,12.4,420,26.4,216560,44.5,1548,7465,2,3.8,44.6,212965,89259,792,35,9526,892,14917,46,92.3,20.49,0.904,799,252,1.85,60.2
32,강원,32030,강원 강릉시,강릉시,2022,23514,49575,0.47,25320,25598,1.22,314,6.635952492,30,14.2,1,3,1,2,120,1,1,1,93,53746927,63.26,22.8,40.9,22.8,0.6,98998,16.2,805,4,23390,6249,14107,84958650,2630,13509,9.4,2080,2.1,29280,96.1,20341,25.1,3914,2409,4899,153,37,1468,64.1,3.6,11.8,405,27.4,215128,37,1600,7185,1.9,3.3,40.9,211381,89894,797,36,9313,893,11062,46.6,93.3,20.19,0.91,691,243,2,60.6
32,강원,32030,강원 강릉시,강릉시,2023,22734,51700,0.44,23710,24529,1.19,316,6.374180535,30,14.3,1,3,1,2,121,1,1,1,94,53746927,68.56,22.3,42.1,26.5,0.6,100581,21.2,777,4,21361,6407,14043,78392990,3379,13348,7.4,1975,2.1,30009,96.6,20834,26.1,3673,2584,4947,175,37,1479,62.2,3.6,11.3,396,39.6,213786,44.4,1492,7208,1.9,3,42.1,209439,91183,803,36,9042,826,11009,47.2,93,19.93,0.846,626,225,1.6,61.05
32,강원,32030,강원 강릉시,강릉시,2024,22196,54279,0.41,28150,28661,1.17,321,6.208897485,30,14.4,1,3,1,2,121,1,1,1,94,54030566,68.88,23.6,39.5,22,0.6,100918,24.3,732,4,20422,6407,14043,78446450,3835,13199,5,1943,2.1,30009,97.4,20834,26.2,3495,2584,4947,173,36,1432,61.5,3.6,11,388,26,212352,38.8,1492,7208,1.9,3.6,39.5,207731,92596,803,36,8496,758,7717,47.9,93.3,19.62,0.779,748,253,1.6,61
32,강원,32400,강원 고성군,고성군,2020,2112,7945,0.27,3171,3438,1.06,111,14.49275362,13,48.6,0,0,0,0,7,0,0,1,12,8304854,66.86,14.6,54.4,26.3,0.5,12096,36.6,0,0,0,758,1291,12421767,1112,2254,2.3,329,0.5,4004,90.8,2563,15.6,432,164,272,17,11,165,55.3,1,0,60,41.1,26572,33.5,259,1230,2.2,3.7,54.4,26757,11910,162,13,938,98,5763,50,88.4,10.82,1.02,98,73,2.65,65.675
32,강원,32400,강원 고성군,고성군,2021,2043,8236,0.25,4637,3807,1.09,111,13.97105098,14,51.4,0,0,0,0,6,0,0,1,10,8304854,66.86,18.3,50.2,22.4,0.6,12385,28.9,0,0,0,807,1457,12421767,1183,2254,2.1,331,0.4,4365,89.9,2759,15.7,441,183,292,19,11,133,55.3,1,0,60,55.9,26650,39.1,266,1170,2.2,3.5,50.2,27249,13129,159,13,965,93,6387,50.6,88.8,10.74,0.962,93,60,2,67.7
32,강원,32400,강원 고성군,고성군,2022,2095,8517,0.25,3269,2968,1.07,112,13.59883439,14,51.3,0,0,0,0,7,0,0,1,10,8304854,66.86,18.5,54.4,21.7,0.6,12757,35.5,0,0,0,795,1450,12421947,1373,2266,2.3,363,0.4,4426,91.2,2813,17.1,453,171,263,17,11,158,63,1,0,55,55.2,27127,37.2,262,1235,2,4.1,54.4,27274,13164,170,13,1041,109,8239,50.8,88.9,11.46,1.1,111,75,2.025,68.2
32,강원,32400,강원 고성군,고성군,2023,2289,8773,0.26,3262,2989,1.08,114,13.38499472,14,51.3,0,0,0,0,6,0,0,1,10,8304854,69.33,22.8,59.8,21.1,0.6,13384,33.6,0,0,0,832,1407,11979402,1812,2230,2.4,345,0.5,4683,91.3,2911,18.2,488,186,278,16,10,134,59.3,1,0,45,47.8,27811,39.8,248,1249,1.7,3.5,59.8,27305,13189,170,13,1031,87,4281,50.8,89.1,11.75,0.87,94,77,1.8,68.025
32,강원,32400,강원 고성군,고성군,2024,2285,9123,0.25,2888,2973,1.06,116,13.22238687,12,44.4,0,0,0,0,6,0,0,1,10,8321573,66.99,23.5,58.4,23.3,0.6,13447,29.2,0,0,0,832,1407,12421947,1926,2219,3,343,0.5,4683,92.2,2911,21,490,186,278,17,10,104,58.7,1,0,61,29.5,27774,34.6,248,1249,2.3,3.9,58.4,26999,13479,170,13,955,118,3647,51.2,89,11.5,1.182,105,51,2.45,69.525
